iter	Passed	Remaining
0	149	149574
1	151	75724
2	153	51122
3	156	38888
4	158	31546
5	160	26618
6	162	23114
7	165	20473
8	167	18417
9	169	16771
10	172	15466
11	174	14339
12	176	13371
13	178	12546
14	180	11823
15	182	11213
16	185	10713
17	187	10234
18	189	9788
19	191	9380
20	193	9006
21	195	8674
22	197	8372
23	198	8072
24	200	7827
25	202	7584
26	204	7363
27	206	7157
28	207	6958
29	209	6788
30	211	6624
31	213	6452
32	215	6301
33	216	6156
34	217	6008
35	219	5873
36	221	5756
37	222	5636
38	224	5526
39	225	5414
40	227	5311
41	228	5223
42	230	5135
43	232	5054
44	234	4966
45	235	4889
46	237	4812
47	238	4734
48	241	4680
49	243	4624
50	244	4557
51	246	4491
52	247	4426
53	249	4362
54	250	4305
55	252	4252
56	253	4199
57	255	4147
58	256	4095
59	258	4046
60	259	3992
61	260	3944
62	262	3900
63	263	3856
64	265	3816
65	267	3779
66	268	3744
67	270	3701
68	271	3667
69	273	3631
70	274	3590
71	275	3554
72	277	3523
73	279	3493
74	280	3463
75	282	3431
76	283	3397
77	285	3368
78	286	3342
79	287	3311
80	289	3286
81	291	3258
82	292	3232
83	294	3208
84	295	3179
85	297	3158
86	298	3127
87	300	3110
88	301	3085
89	303	3067
90	304	3045
91	306	3022
92	307	3000
93	309	2985
94	311	2964
95	312	2944
96	314	2923
97	315	2904
98	317	2892
99	319	2876
100	321	2859
101	322	2836
102	324	2826
103	326	2810
104	328	2795
105	330	2785
106	331	2770
107	333	2756
108	335	2739
109	336	2723
110	337	2706
111	339	2691
112	341	2677
113	342	2662
114	344	2648
115	345	2632
116	347	2622
117	349	2610
118	350	2594
119	352	2581
120	353	2570
121	355	2557
122	356	2542
123	358	2531
124	360	2520
125	362	2512
126	364	2502
127	365	2488
128	367	2478
129	368	2464
130	369	2452
131	371	2440
132	373	2432
133	374	2420
134	376	2410
135	377	2399
136	379	2388
137	380	2376
138	382	2367
139	383	2357
140	385	2348
141	387	2340
142	388	2330
143	390	2320
144	392	2311
145	393	2302
146	395	2292
147	396	2283
148	398	2274
149	400	2267
150	401	2258
151	403	2251
152	405	2243
153	406	2235
154	408	2227
155	410	2218
156	412	2214
157	414	2206
158	415	2199
159	417	2192
160	419	2185
